playlist,track_id,track_name,artist_name,album_name,release_date,popularity,added_at
USA Top 50,31Oh4pwZWjBTuRmzNtxj10,Is It a Crime,"Mariah the Scientist, Kali Uchis",HEARTS SOLD SEPARATELY,2025-08-22,72,2025-09-27T11:42:21Z
USA Top 50,0MHStU0muAIEMbwdnebYu2,Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,93,2025-09-27T11:42:21Z
USA Top 50,5RpGHqlGHRTGWzNPBKW08D,What's Goin On (feat. Lizzo),"Cardi B, Lizzo",AM I THE DRAMA?,2025-09-19,70,2025-09-27T11:42:21Z
USA Top 50,6M1vkKMDQZoh1sbH4asNcF,Pick It Up (feat. Selena Gomez),"Cardi B, Selena Gomez",AM I THE DRAMA?,2025-09-19,74,2025-09-27T11:42:21Z
USA Top 50,3Mj2OgBG7J4mv7yx3hVcaE,Bodega Baddie,Cardi B,AM I THE DRAMA?,2025-09-18,52,2025-09-27T11:42:21Z
USA Top 50,1NUSXgqkenc0sP7idI2s8g,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",I NEVER LIKED YOU,2022-05-02,54,2025-09-27T11:42:21Z
USA Top 50,42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,Manchild,2025-06-05,89,2025-09-27T11:42:21Z
USA Top 50,29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,SWAG,2025-07-11,88,2025-09-27T11:42:21Z
USA Top 50,42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,Man’s Best Friend,2025-08-29,94,2025-09-27T11:42:21Z
USA Top 50,583dMdiUquLMenarTp7PQm,Last Night,Morgan Wallen,One Thing At A Time,2023-03-03,83,2025-09-27T11:42:21Z
USA Top 50,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,87,2025-09-27T11:42:21Z
USA Top 50,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,2022-12-09,86,2025-09-27T11:42:21Z
USA Top 50,47Xj8eIAp7hYOOqArmkqZE,Spin You Around (1/24),Morgan Wallen,Spin You Around (1/24),2024-01-26,75,2025-09-27T11:42:21Z
USA Top 50,1SF8piqsZWn86DajVKih8F,Kacey Talk,YoungBoy Never Broke Again,Top,2020-09-11,66,2025-09-27T11:42:21Z
USA Top 50,2OzCuL1rHvOEtZOWGCiPNO,Free,"Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film / Deluxe Version),2025-09-05,61,2025-09-27T11:42:21Z
USA Top 50,3WcC6NH9J77xPEvj1SOL7z,March Madness,Future,56 Nights,2015-03-21,69,2025-09-27T11:42:21Z
USA Top 50,3gOL6mYIq19Oq8raxIntrV,LIKE ME (feat. 42 Dugg & Lil Baby),"Future, 42 Dugg, Lil Baby",I NEVER LIKED YOU,2022-05-02,60,2025-09-27T11:42:21Z
USA Top 50,1NQCwdW8bpcq3XtJgPpmlT,Man Of Your Word (feat. Dougie F),"Cardi B, Dougie F",AM I THE DRAMA?,2025-09-19,69,2025-09-27T11:42:21Z
USA Top 50,3JlQPeTJDdxR6yYfus8trX,Superman,Morgan Wallen,I’m The Problem,2025-05-16,48,2025-09-27T11:42:21Z
USA Top 50,5g8frSfNnBYjSpLkLtFnCd,Shower Tears (feat. Summer Walker),"Cardi B, Summer Walker",AM I THE DRAMA?,2025-09-19,69,2025-09-27T11:42:21Z
Top 50 - Great Britain,1ChulFMnwxoD74Me8eX2TU,You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,1985-09-05,1,2024-01-14T04:53:30Z
Top 50 - Great Britain,5rvY5aFTSvQAo2VNUR1Fxy,Blue Monday - 2011 Total Version,New Order,TOTAL,2011-06-03,48,2024-01-14T04:53:30Z
Top 50 - Great Britain,2K22nUTdyr48JDwI5t906t,Relax,Frankie Goes To Hollywood,Welcome To The Pleasuredome: 25th Anniversary Deluxe Edition,1984,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,Wham!,Make It Big,1984-10-23,79,2024-01-14T04:53:30Z
Top 50 - Great Britain,1qV6e4ITnfGmA6m6Vklvbi,Our House,Madness,A Guided Tour Of Madness,2011-09-19,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,3KuAa8Y79xlfJgYtBKbynY,Don't Go - 2008 Remaster,Yazoo,Essential: Eighties,2011-06-24,49,2024-01-14T04:53:30Z
Top 50 - Great Britain,0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,Depeche Mode,Speak and Spell (Deluxe),1981-11-02,74,2024-01-14T04:53:30Z
Top 50 - Great Britain,3MrWxJaD2AT0W9DjWF64Vm,Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),1982-08,1,2024-01-14T04:53:30Z
Top 50 - Great Britain,2JO3HwMRPeya8bXbtbyPcf,Love Will Tear Us Apart,Joy Division,The Best Of,2008-03-20,64,2024-01-14T04:53:30Z
Top 50 - Great Britain,6ewN9MaFbi78oDLT9wYDgn,Ghost Town,The Specials,"Stereo-Typical: A's, B's & Rarities",2000-08-21,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,3XWgwgbWDI56mf1Wl3cLzb,Buffalo Stance,Neneh Cherry,Raw Like Sushi,1989-01-01,54,2024-01-14T04:53:30Z
Top 50 - Great Britain,7ABE6G4uQxbNtYgVrpBBPA,Close To Me,The Cure,The Head On The Door (Remastered),1985-08-26,69,2024-01-14T04:53:30Z
Top 50 - Great Britain,3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,Dare!,1981,78,2024-01-14T04:53:30Z
Top 50 - Great Britain,2siPUQ6zsjf19DCujWPhQk,Fools Gold - Remastered 2009,The Stone Roses,The Stone Roses (20th Anniversary Legacy Edition),1989-05-03,17,2024-01-14T04:53:30Z
Top 50 - Great Britain,2Di0qFNb7ATroCGB3q0Ka7,West End Girls - 2001 Remaster,Pet Shop Boys,Please: Further Listening 1984-1986,1986-03-24,1,2024-01-14T04:53:30Z
Top 50 - Great Britain,6HvUtPLqkP0t6zd6YNdWby,The Look Of Love - Pt. 1,ABC,The Lexicon Of Love,1982-06-21,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,3yobQNuKVJ62WDU7h725Fu,Fade To Grey,Visage,Fade To Grey: The Best Of Visage,1993-01-01,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,1981,78,2024-01-14T04:53:30Z
Top 50 - Great Britain,34sCPR1Qb9NlWN8cr9ljlP,Vienna - 2008 Remaster,Ultravox,Vienna (2008 Remaster),1980-07-11,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,3NYCaxkggl0Hh8vQptSUvV,Enola Gay - Remastered 2003,Orchestral Manoeuvres In The Dark,Organisation,1980-10-24,68,2024-01-14T04:53:30Z
Top 50 - Great Britain,3ix6K4wZY29bCujrSznwFZ,Let's Dance - 1999 Remaster,David Bowie,Let's Dance (1999 Remaster),1983-04-14,1,2024-01-14T04:53:30Z
Top 50 - Great Britain,6N7gPTru90HYLRUIVDQ185,More Than This,Roxy Music,Avalon,1982-05-01,69,2024-01-14T04:53:30Z
Top 50 - Great Britain,1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,1985,8,2024-01-14T04:53:30Z
Top 50 - Great Britain,1HmzAZUvhQLhLo2z3ocpZI,Radio Ga Ga - Remastered 2011,Queen,The Works (Deluxe Edition 2011 Remaster),1984-02-27,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,369JKykZZr1qzv9pg5zAhz,"Pump Up The Volume (7"")",M/A/R/R/S,Lilliput,1992-01-01,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,0oXA7SxyrgtNbXq3huDszc,Beat Dis,Bomb The Bass,Pure... Electronic 80s,2014-03-24,23,2024-01-14T04:53:30Z
Top 50 - Great Britain,4gCo2r1gCEw70OAq9cF1uW,Buffalo Gals,Malcolm McLaren,Duck Rock,1983,38,2024-01-14T04:53:30Z
Top 50 - Great Britain,4YNyU0vEEC5grHkHnO9lhF,19,Paul Hardcastle,This Is... 1985,2008-08-08,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,0GTK6TesV108Jj5D3MHsYb,Owner of a Lonely Heart,Yes,90125 (Deluxe Version),1983-06-01,73,2024-01-14T04:53:30Z
Top 50 - Great Britain,4j2non7vSAI1dZwsBIdGLz,Living in a Box,Living In A Box,Living in a Box,1987-05-09,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,1y748kOQshZECWk5MddfOv,Love Changes (Everything),Climie Fisher,Everything,1988-03-14,64,2024-01-14T04:53:30Z
Top 50 - Great Britain,0CsM8VGDi38kusMv3pxyj1,True - Single Edit,Spandau Ballet,True - The Digital E.P.,2008-04-25,69,2024-01-14T04:53:30Z
Top 50 - Great Britain,38xESlP7Zp7OAhb0aJruNS,What is Love? - 2008 Remastered Version,Howard Jones,Human's Lib,1984-06-12,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,00FDHurakzVEiPutdUxXXq,Wouldn't It Be Good,Nik Kershaw,Human Racing (Expanded Edition),1984,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,5KXKhCfPNS4342ly8tTf6w,Shattered Dreams - Remastered 2008,Johnny Hates Jazz,Turn Back The Clock,1988,67,2024-01-14T04:53:30Z
Top 50 - Great Britain,6JCAjz8BprJ8uW6Vlavby5,Hot Water,Level 42,True Colours (Expanded Version),1984,27,2024-01-14T04:53:30Z
Top 50 - Great Britain,0gdmDP6xy3ZV7JNoHWAN9k,Town Called Malice,The Jam,The Gift (Deluxe Edition),1982-03-12,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,7ELuWpsuVCRBnOR9ZAZKDp,Back To Life (However Do You Want Me),"Soul II Soul, Caron Wheeler",Club Classics Vol. One,1995-05-18,51,2024-01-14T04:53:30Z
Top 50 - Great Britain,39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Duran Duran,Rio (Collector's Edition),1982-05-10,75,2024-01-14T04:53:30Z
Top 50 - Great Britain,6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For - Remastered 2007,U2,The Joshua Tree (Deluxe Edition Remastered),1987-03-10,1,2024-01-14T04:53:30Z
Top 50 - Great Britain,3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),Simple Minds,Once Upon A Time (Super Deluxe),1985-10-21,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,11HLyzoCyx8hXKXVmrg1Sy,Wishful Thinking,China Crisis,Diary: A Collection,1992-01-01,55,2024-01-14T04:53:30Z
Top 50 - Great Britain,1eoHjFYPjG7cBJi6Obb7oV,Stand and Deliver,Adam & The Ants,Hits,1986,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,2FMcDUopGfjBh3xMsrm78S,I Want Candy,Bow Wow Wow,We Are The '80s,1980,51,2024-01-14T04:53:30Z
Top 50 - Great Britain,7G2oCOFBXTaaMa12WuDOni,Happy Birthday,Altered Images,HAPPY BIRTHDAY,1981-07-17,41,2024-01-14T04:53:30Z
Top 50 - Great Britain,6su4BGoEQIhclaNzUosUye,Our Lips Are Sealed,Fun Boy Three,Waiting,1983-02-19,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,The Clash,Combat Rock (Remastered),1982,73,2024-01-14T04:53:30Z
Top 50 - Great Britain,7y4CtoXHFbs8VgcqbaYb9P,Rip It Up,Orange Juice,Rip It Up,1982,0,2024-01-14T04:53:30Z
Top 50 - Great Britain,66A7gfylnbyqL8OmXQrRCa,Theme from S'Express - Overture,S'Express,Original Soundtrack,1989,19,2024-01-14T04:53:30Z
Top 50 - Great Britain,5nlwajOutaUfiSayarrZTy,The Only Way Is Up,Yazz,100 80s,2012-01-01,0,2024-01-14T04:53:30Z
JP Top 50,21UkXrc9kD48rNpTMI2ecz,NEVER LEFT,Lil Tecca,NEVER LEFT,2021-05-06,54,2021-06-05T19:46:35Z
JP Top 50,3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition),2021-05-28,0,2021-06-05T19:48:03Z
JP Top 50,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,82,2021-06-05T19:48:13Z
JP Top 50,55XOUxXsBBbC07PD3Zml3F,Maze,Juice WRLD,Death Race For Love,2019-03-08,0,2021-06-05T19:50:02Z
JP Top 50,5WQrDB34o6M8V0jxNiX6RU,Fast,Juice WRLD,Death Race For Love,2019-03-08,1,2021-06-05T19:50:22Z
JP Top 50,6iaSML1PIYq936g62BDtBq,Robbery,Juice WRLD,Death Race For Love,2019-03-08,4,2021-06-05T19:50:36Z
JP Top 50,1goNZsIE8w3NQOzlP40veh,Make Believe,Juice WRLD,Death Race For Love,2019-03-08,1,2021-06-05T19:51:30Z
JP Top 50,1a7WZZZH7LzyvorhpOJFTe,Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert",Goodbye & Good Riddance (Anniversary Edition),2021-05-28,0,2021-06-05T19:51:56Z
JP Top 50,1YM6c2sxbf2Jacl9IFgn4I,Titanic,Juice WRLD,Legends Never Die,2020-07-10,63,2021-06-05T19:52:13Z
JP Top 50,7d94IqWX2UmSKMGUYSGFJG,Bad Energy,Juice WRLD,Legends Never Die,2020-07-10,64,2021-06-05T19:52:22Z
JP Top 50,6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),"Juice WRLD, The Weeknd",Legends Never Die,2020-07-10,67,2021-06-05T19:52:58Z
JP Top 50,0ada5XsQGLPUVbmTCkAP49,Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Marshmello, The Kid LAROI, Polo G",Legends Never Die,2020-07-10,68,2021-06-05T19:53:17Z
JP Top 50,0440JCJyIAmINA8KcYgFb5,Fighting Demons,Juice WRLD,Legends Never Die,2020-07-10,64,2021-06-05T19:53:46Z
JP Top 50,2U5WueTLIK5WJLD7mvDODv,Wishing Well,Juice WRLD,Legends Never Die,2020-07-10,76,2021-06-05T19:53:53Z
JP Top 50,7pbg3ABlAZv2NiIdKbBBFm,Up Up And Away,Juice WRLD,Legends Never Die,2020-07-10,64,2021-06-05T19:54:14Z
JP Top 50,21CkzgKCBCq5V4XKjiGSIj,Stay High,Juice WRLD,Legends Never Die,2020-07-10,72,2021-06-05T19:54:23Z
JP Top 50,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,80,2021-06-05T19:55:33Z
JP Top 50,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",Perfect Ten,2019-06-28,74,2021-06-05T19:55:40Z
JP Top 50,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me for Being Antisocial,2019-12-06,71,2021-06-05T19:55:43Z
JP Top 50,65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",Scary Hours 2,2021-03-05,76,2021-06-05T19:57:21Z
JP Top 50,3aQem4jVGdhtg116TmJnHz,What’s Next,Drake,Scary Hours 2,2021-03-05,67,2021-06-05T19:57:24Z
JP Top 50,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),2020-08-14,76,2021-06-05T19:57:30Z
JP Top 50,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,Scorpion,2018-06-29,83,2021-06-05T19:57:45Z
JP Top 50,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Drake,Scorpion,2018-06-29,77,2021-06-05T19:58:10Z
JP Top 50,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Drake,Scorpion,2018-06-29,74,2021-06-05T19:58:22Z
JP Top 50,20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion, Lil Baby",KHALED KHALED,2021-04-30,53,2021-06-05T20:01:05Z
JP Top 50,28IXXvWmi4rsGbe0nnEjSV,Project Dreams,"Marshmello, Roddy Ricch",Project Dreams,2019-01-25,2,2021-06-05T20:04:27Z
JP Top 50,1p0rEzrK7YtdRZVtiyV7RN,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,3,2021-06-05T20:04:42Z
JP Top 50,6rz0dTA0PdhXImFV5EjM0w,Hide (feat. Seezyn),"Juice WRLD, Seezyn",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,72,2021-06-05T20:04:57Z
JP Top 50,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,Travis Scott,BUTTERFLY EFFECT,2017-05-18,2,2021-06-05T20:05:28Z
JP Top 50,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",Hot Pink,2019-11-07,72,2021-06-05T20:05:33Z
JP Top 50,5PTG6rrL6EPFD9E2QMI2pl,JAPAN,Famous Dex,Dex Meets Dexter,2018-04-06,63,2021-06-05T20:05:45Z
JP Top 50,6lruHh1jF7ezgbLv72xYmf,FML,Arizona Zervas,Living Facts,2018-06-03,60,2021-06-05T20:05:52Z
JP Top 50,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,Toosie Slide,2020-04-03,69,2021-06-05T20:06:00Z
JP Top 50,7iHHxY2NLlJRAmlAmC4ahQ,Stuck In A Dream (feat. Gunna),"Lil Mosey, Gunna",Certified Hitmaker,2019-11-08,63,2021-06-05T20:06:06Z
JP Top 50,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2020-02-07,68,2021-06-05T20:06:21Z
JP Top 50,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,74,2021-06-05T20:06:32Z
JP Top 50,2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,"Lil Tecca, Juice WRLD",We Love You Tecca,2019-08-30,74,2021-06-05T20:06:38Z
JP Top 50,4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,Camelot,2019-09-13,56,2021-06-05T20:07:08Z
JP Top 50,1Z0cZI0UzNbP9L8MzzGxqf,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Top Shotta,2020-08-07,71,2021-06-05T20:10:11Z
JP Top 50,527k23H0A4Q0UJN3vGs0Da,After Party,Don Toliver,Heaven Or Hell,2020-03-13,73,2021-06-05T20:10:50Z
JP Top 50,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,77,2021-06-05T20:16:13Z
JP Top 50,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,2020-07-03,75,2021-06-05T20:16:23Z
JP Top 50,7gZXCjAy6nxKCQWLEeX4LZ,One Thing Right,"Marshmello, Kane Brown",One Thing Right,2019-06-21,6,2021-06-05T20:17:55Z
JP Top 50,2jpKZFnBk98Ud3EoZiBOTf,Here With Me,"Marshmello, CHVRCHES",Here With Me,2019-03-08,8,2021-06-05T20:18:13Z
JP Top 50,79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,Meet The Woo,2019-07-26,76,2021-09-12T15:59:39Z
JP Top 50,57BGVV6wcyhbn3hsjlqEZB,Element,Pop Smoke,Meet The Woo 2,2020-02-07,70,2021-09-12T16:00:02Z
JP Top 50,2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),"Pop Smoke, A Boogie Wit da Hoodie",Shoot For The Stars Aim For The Moon (Deluxe),2020-07-20,72,2021-09-12T17:40:24Z
JP Top 50,5Pm5aqS8l2fytzhix5Pucu,SHOOTERS,Lil Tecca,We Love You Tecca 2,2021-08-27,47,2021-09-20T00:53:51Z
JP Top 50,027269uzraETHuoG6aMs6a,Waves,Luke Bryan,Born Here Live Here Die Here (Deluxe Edition),2021-04-09,54,2021-09-25T16:55:23Z
Top 50 - Brazil,4sTlQPMyoFMPdhAJvErBN3,PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,2024-04-23,85,2025-03-13T01:31:32Z
Top 50 - Brazil,3VFySvZMSn4z4X4YDDQb0H,NUNCA MUDA?,"Scythermane, NXGHT!, MC Fabinho da Osk",NUNCA MUDA?,2025-01-09,71,2025-01-27T17:51:40Z
Top 50 - Brazil,49t3uvN9hUNefdvtaD6HBj,LUNA BALA - Slowed,"Yb Wasg'ood, Ariis",LUNA BALA,2025-04-18,84,2025-04-25T19:35:08Z
Top 50 - Brazil,43jExF2HeZ6cJIGrWF0ie4,Funk de Beleza - Slowed,"Nateki, Scythermane, MC MAYAH",Funk de Beleza,2024-10-04,78,2025-03-18T21:25:18Z
Top 50 - Brazil,11gZL0HigsqfzjTHOpdFjE,MENTE MÁ,"Nakama, Mc Staff",MENTE MÁ,2025-05-16,85,2025-09-09T00:33:50Z
Top 50 - Brazil,72S7CkUjuiGnbfqu3gSOpU,PASSO BEM SOLTO - Super Slowed,ATLXS,PASSO BEM SOLTO,2024-04-23,67,2025-03-18T21:26:54Z
Top 50 - Brazil,3x22qcYuGehBV6X0K6HIoO,MONTAGEM BATCHI,"MXZI, Rushex, MONTAGEM",MONTAGEM BATCHI,2025-04-11,77,2025-09-09T00:33:58Z
